id_pagador,qtd_boletos,media_atraso,atraso_maximo,taxa_atraso,valor_total,ticket_medio,id_cnpj,cd_cnae_prin,uf,sacado_indice_liquidez_1m,cedente_indice_liquidez_1m,score_materialidade_evolucao,media_atraso_dias,indicador_liquidez_quantitativo_3m,share_vl_inad_pag_bol_6_a_15d,score_quantidade_v2,score_materialidade_v2
04a7902b1bd94f26b2d49eca270b3ef118260724784b259e021ec4503f9bcf33,3,0.0,0.0,0.0,1039.1200000000001,346.3733333333334,04a7902b1bd94f26b2d49eca270b3ef118260724784b259e021ec4503f9bcf33,4729699.0,GO,9310000000000000.0,8310000000000000.0,959.0,2.16e+16,950.0,288.0,969.0,989.0
04e884bda37cbb3f403800efef436300540b8aa66492e820dee6ec378dc2556c,1,0.0,0.0,0.0,3259.08,3259.08,04e884bda37cbb3f403800efef436300540b8aa66492e820dee6ec378dc2556c,4722901.0,GO,8240000000000000.0,8300000000000000.0,919.0,2060000000000000.0,950.0,12151.0,975.0,988.0
04e94b017a621851c7f16521d3ac5b1086594ac88b235c8b026929afee471707,1,0.0,0.0,0.0,1251.38,1251.38,,,,,,,,,,,
04ec5c2d804534138ef3ae62a152cff69995bee5c5ff996fb3239090b2f837e5,3,0.0,0.0,0.0,2529.7200000000003,843.2400000000001,04ec5c2d804534138ef3ae62a152cff69995bee5c5ff996fb3239090b2f837e5,4530703.0,PR,9650000000000000.0,8910000000000000.0,936.0,192500.0,930.0,771.0,982.0,989.0
04f814dc80e433898a79fbd2106d1c8e4a678f4167fa210dfbb5f96674b7137a,1,0.0,0.0,0.0,1768.86,1768.86,,,,,,,,,,,
0502c4ed8e29114cecfe7f6fc432255c689043e01096f7cec191314e65dd69ce,4,1.25,4.0,0.5,13277.96,3319.49,0502c4ed8e29114cecfe7f6fc432255c689043e01096f7cec191314e65dd69ce,4644301.0,PR,7110000000000000.0,4.97e+16,351.0,1.42e+16,880.0,15134.0,180.0,972.0
053a44e6338c2ac07bd7aeee4d0b810d1f1cd63f10203247435591efbc9c43fb,1,2.0,2.0,1.0,5594.61,5594.61,,,,,,,,,,,
054e051830e363c00cc1b88e6e9d7651ad75e0dba49e3753b03d72e98f5d2f43,8,0.0,0.0,0.0,1596418.43,199552.30375,,,,,,,,,,,
054ffabbbac7fd9c2766f154264fa0a235c999041d36d77637df9839f0f53c8a,3,0.0,0.0,0.0,4949.65,1649.8833333333332,054ffabbbac7fd9c2766f154264fa0a235c999041d36d77637df9839f0f53c8a,2821601.0,SP,9740000000000000.0,87478900000000.0,953.0,2110000000000000.0,950.0,247.0,981.0,988.0
0553f6d3d4b39088a3634ca734413f938e3ab974901067d0e8dcd1190c7aa89c,2,4.5,5.0,1.0,7990.6,3995.3,0553f6d3d4b39088a3634ca734413f938e3ab974901067d0e8dcd1190c7aa89c,4744099.0,SC,6350000000000000.0,9140000000000000.0,545.0,1.02e+16,910.0,49586.0,124.0,924.0
055871b50374b32601d8e6dcc3d82dd71873bb1c65ae440b3e86183c2988b5c4,1,0.0,0.0,0.0,73.96,73.96,,,,,,,,,,,
056b23b847f8f9cd8dadf04f827df2cabe9bb1d2385410b13b5635e157df8e1f,1,0.0,0.0,0.0,4723.28,4723.28,056b23b847f8f9cd8dadf04f827df2cabe9bb1d2385410b13b5635e157df8e1f,4781400.0,SP,8730000000000000.0,1000.0,830.0,1.11e+16,940.0,12867.0,978.0,987.0
